Timestamp,Frequency (Hz),Amplitude (dB),Mean Amplitude (dB)
2025-11-25 11:55:30,3515.6,-58.35,
2025-11-25 11:55:30,3593.8,-57.46,
2025-11-25 11:55:30,3671.9,-55.04,
2025-11-25 11:55:30,3750.0,-58.64,
2025-11-25 11:55:30,3828.1,-63.32,
2025-11-25 11:55:30,3906.3,-59.57,
2025-11-25 11:55:30,3984.4,-54.08,
2025-11-25 11:55:30,4062.5,-57.08,
2025-11-25 11:55:30,4140.6,-58.42,
2025-11-25 11:55:30,4218.8,-59.11,
2025-11-25 11:55:30,4296.9,-62.39,
2025-11-25 11:55:30,4375.0,-60.96,
2025-11-25 11:55:30,4453.1,-61.03,
2025-11-25 11:55:30,4531.3,-61.01,
2025-11-25 11:55:30,4609.4,-56.9,
2025-11-25 11:55:30,4687.5,-55.81,
2025-11-25 11:55:30,4765.6,-57.66,
2025-11-25 11:55:30,4843.8,-56.54,
2025-11-25 11:55:30,4921.9,-62.9,
2025-11-25 11:55:30,5000.0,-59.65,
2025-11-25 11:55:30,5078.1,-59.24,
2025-11-25 11:55:30,5156.3,-61.92,
2025-11-25 11:55:30,5234.4,-64.03,
2025-11-25 11:55:30,5312.5,-61.42,
2025-11-25 11:55:30,5390.6,-64.29,
2025-11-25 11:55:30,5468.8,-63.34,
2025-11-25 11:55:30,5546.9,-59.93,
2025-11-25 11:55:30,5625.0,-61.76,
2025-11-25 11:55:30,5703.1,-64.88,
2025-11-25 11:55:30,5781.3,-62.68,
2025-11-25 11:55:30,5859.4,-69.81,
2025-11-25 11:55:30,5937.5,-68.75,
2025-11-25 11:55:30,6015.6,-61.81,
2025-11-25 11:55:30,6093.8,-64.85,
2025-11-25 11:55:30,6171.9,-58.74,
2025-11-25 11:55:30,6250.0,-59.84,
2025-11-25 11:55:30,6328.1,-63.07,
2025-11-25 11:55:30,6406.3,-61.18,
2025-11-25 11:55:30,6484.4,-62.43,
2025-11-25 11:55:30,6562.5,-65.51,
2025-11-25 11:55:30,6640.6,-65.35,
2025-11-25 11:55:30,6718.8,-64.29,
2025-11-25 11:55:30,6796.9,-65.74,
2025-11-25 11:55:30,6875.0,-76.65,
2025-11-25 11:55:30,6953.1,-59.91,
2025-11-25 11:55:30,7031.3,-60.09,
2025-11-25 11:55:30,7109.4,-71.5,
2025-11-25 11:55:30,7187.5,-66.31,
2025-11-25 11:55:30,7265.6,-62.13,
2025-11-25 11:55:30,7343.8,-63.37,
2025-11-25 11:55:30,7421.9,-58.71,
2025-11-25 11:55:30,7500.0,-58.12,
2025-11-25 11:55:30,7578.1,-57.4,
2025-11-25 11:55:30,7656.3,-60.65,
2025-11-25 11:55:30,7734.4,-60.88,
2025-11-25 11:55:30,7812.5,-57.19,
2025-11-25 11:55:30,7890.6,-55.55,
2025-11-25 11:55:30,7968.8,-56.4,
2025-11-25 11:55:30,8046.9,-61.7,
2025-11-25 11:55:30,8125.0,-62.38,
2025-11-25 11:55:30,8203.1,-59.07,
2025-11-25 11:55:30,8281.2,-62.7,
2025-11-25 11:55:30,8359.4,-62.79,
2025-11-25 11:55:30,8437.5,-62.57,
2025-11-25 11:55:30,8515.6,-62.88,
2025-11-25 11:55:30,8593.7,-57.54,
2025-11-25 11:55:30,8671.9,-55.64,
2025-11-25 11:55:30,8750.0,-56.26,
2025-11-25 11:55:30,8828.1,-59.06,
2025-11-25 11:55:30,8906.2,-64.37,
2025-11-25 11:55:30,8984.4,-64.67,
2025-11-25 11:55:30,9062.5,-62.53,
2025-11-25 11:55:30,9140.6,-55.46,
2025-11-25 11:55:30,9218.7,-56.58,
2025-11-25 11:55:30,9296.9,-58.58,
2025-11-25 11:55:30,9375.0,-59.31,
2025-11-25 11:55:30,9453.1,-58.39,
2025-11-25 11:55:30,9531.2,-58.57,
